height,weight,label
147,96,fat
142,100,fat
179,37,thin
157,57,normal
189,93,fat
177,60,normal
186,89,fat
184,80,normal
153,88,fat
162,73,fat
141,39,normal
151,100,fat
168,40,thin
167,38,thin
170,73,fat
186,86,normal
183,91,fat
181,58,thin
159,57,normal
156,86,fat
177,56,thin
148,95,fat
163,100,fat
162,46,thin
152,82,fat
158,40,thin
169,89,fat
186,96,fat
147,87,fat
152,55,normal
189,87,normal
165,87,fat
173,82,fat
150,53,normal
145,79,fat
161,37,thin
149,94,fat
147,57,fat
171,54,thin
171,75,fat
180,89,fat
142,61,fat
151,82,fat
157,65,fat
167,97,fat
152,92,fat
181,85,fat
169,54,normal
178,77,normal
160,35,thin
186,61,thin
148,61,fat
172,80,fat
153,43,thin
170,38,thin
144,55,fat
147,51,normal
157,92,fat
143,99,fat
180,44,thin
186,53,thin
188,97,fat
146,83,fat
169,42,thin
172,81,fat
158,96,fat
156,46,normal
182,80,normal
144,41,normal
184,78,normal
153,56,normal
189,48,thin
187,79,normal
163,64,normal
142,99,fat
145,99,fat
189,54,thin
180,37,thin
186,39,thin
190,96,fat
149,100,fat
189,97,fat
170,46,thin
167,56,normal
152,74,fat
143,49,normal
153,68,fat
159,68,fat
163,63,normal
152,73,fat
181,52,thin
177,43,thin
151,66,fat
156,65,fat
182,49,thin
146,77,fat
175,78,fat
164,81,fat
166,89,fat
166,89,fat
144,97,fat
160,39,thin
176,41,thin
160,55,normal
180,53,thin
157,35,thin
155,73,fat
150,49,normal
161,81,fat
156,78,fat
164,90,fat
141,75,fat
167,86,fat
171,78,fat
155,69,fat
142,61,fat
170,38,thin
159,81,fat
149,55,normal
145,79,fat
185,46,thin
142,38,normal
186,60,thin
140,85,fat
161,36,thin
185,61,thin
179,78,normal
186,82,normal
167,91,fat
186,53,thin
168,97,fat
160,57,normal
163,93,fat
147,67,fat
154,69,fat
152,44,normal
180,64,normal
176,68,normal
145,63,fat
185,40,thin
180,36,thin
175,62,normal
188,97,fat
149,88,fat
175,55,thin
141,74,fat
167,46,thin
148,82,fat
173,41,thin
160,36,thin
141,67,fat
162,93,fat
173,47,thin
146,99,fat
164,87,fat
161,44,thin
185,85,normal
156,100,fat
150,83,fat
141,69,fat
140,40,normal
165,60,normal
181,83,fat
168,97,fat
149,61,fat
189,81,normal
145,79,fat
189,51,thin
140,52,fat
150,72,fat
166,94,fat
154,64,fat
145,44,normal
169,89,fat
163,81,fat
147,100,fat
146,93,fat
189,49,thin
148,95,fat
152,52,normal
140,69,fat
144,82,fat
147,72,fat
141,66,fat
140,92,fat
185,44,thin
141,38,normal
175,75,normal
172,36,thin
180,46,thin
185,64,normal
187,81,normal
188,86,normal
158,55,normal
168,52,thin
170,36,thin
161,49,normal
185,41,thin
186,44,thin
169,95,fat
144,94,fat
151,67,fat
146,88,fat
150,85,fat
169,80,fat
170,42,thin
153,54,normal
170,61,normal
188,76,normal
168,72,fat
160,44,thin
173,63,normal
182,64,normal
170,51,thin
179,47,thin
153,83,fat
190,75,normal
167,65,normal
177,78,normal
140,84,fat
157,100,fat
174,58,normal
142,60,fat
190,40,thin
183,35,thin
161,87,fat
159,80,fat
167,62,normal
171,87,fat
149,42,normal
148,47,normal
173,81,fat
155,95,fat
162,61,normal
178,70,normal
151,94,fat
168,35,thin
159,50,normal
170,96,fat
162,66,fat
183,55,thin
148,37,thin
147,61,fat
140,82,fat
179,60,normal
165,98,fat
185,49,thin
153,55,normal
163,51,normal
144,66,fat
185,44,thin
148,100,fat
185,80,normal
162,66,fat
155,99,fat
184,73,normal
171,62,normal
142,65,fat
173,52,thin
160,46,thin
152,83,fat
156,56,normal
173,60,normal
190,63,thin
147,64,fat
149,74,fat
180,70,normal
150,87,fat
188,47,thin
182,60,thin
176,74,normal
159,98,fat
190,90,normal
159,46,thin
149,52,normal
176,84,fat
187,82,normal
178,69,normal
170,39,thin
164,80,fat
170,57,normal
166,74,fat
189,62,thin
157,89,fat
182,44,thin
176,52,thin
162,76,fat
165,49,thin
180,99,fat
144,66,fat
142,78,fat
188,77,normal
146,91,fat
162,86,fat
163,61,normal
141,56,fat
145,53,fat
171,88,fat
174,55,thin
144,45,normal
159,52,normal
161,83,fat
182,35,thin
144,40,normal
170,50,thin
142,59,fat
173,46,thin
168,71,fat
171,71,normal
187,56,thin
159,56,normal
187,47,thin
154,41,thin
169,87,fat
186,44,thin
146,65,fat
184,38,thin
184,89,fat
188,74,normal
169,100,fat
159,97,fat
183,36,thin
169,68,normal
179,92,fat
156,68,fat
151,94,fat
152,64,fat
141,42,normal
162,52,normal
161,54,normal
176,100,fat
149,72,fat
167,40,thin
171,84,fat
185,50,thin
176,89,fat
168,55,normal
160,68,fat
187,98,fat
183,38,thin
168,83,fat
142,88,fat
162,77,fat
159,61,normal
170,98,fat
162,59,normal
177,40,thin
161,56,normal
163,37,thin
160,55,normal
172,49,thin
155,44,thin
169,48,thin
190,51,thin
168,46,thin
143,41,normal
158,62,normal
184,36,thin
181,100,fat
175,92,fat
164,39,thin
144,73,fat
140,77,fat
169,45,thin
183,48,thin
144,99,fat
180,77,normal
178,94,fat
149,62,fat
148,79,fat
150,96,fat
163,48,thin
143,80,fat
161,97,fat
146,91,fat
163,71,fat
178,51,thin
141,99,fat
181,83,fat
145,41,normal
183,80,normal
157,39,thin
158,64,fat
170,59,normal
143,86,fat
165,54,normal
175,71,normal
177,100,fat
169,98,fat
175,77,fat
185,68,normal
150,63,fat
150,100,fat
180,90,fat
144,72,fat
143,83,fat
189,61,thin
171,88,fat
145,96,fat
175,70,normal
159,77,fat
147,61,fat
179,70,normal
154,93,fat
144,64,fat
147,59,fat
158,93,fat
176,92,fat
152,35,thin
144,52,fat
169,47,thin
143,63,fat
190,72,normal
159,52,normal
185,88,fat
171,44,thin
148,70,fat
180,86,fat
141,40,normal
140,91,fat
163,55,normal
155,71,fat
187,60,thin
165,53,normal
149,63,fat
178,91,fat
185,60,thin
149,74,fat
186,89,fat
145,97,fat
181,95,fat
169,78,fat
158,43,thin
153,60,fat
159,81,fat
176,95,fat
162,82,fat
158,96,fat
176,93,fat
164,92,fat
159,95,fat
148,93,fat
149,71,fat
164,44,thin
158,47,normal
167,97,fat
166,73,fat
175,62,normal
182,71,normal
153,63,fat
151,44,normal
157,69,fat
145,49,normal
165,61,normal
158,71,fat
179,74,normal
180,63,normal
157,74,fat
177,85,fat
184,71,normal
154,51,normal
140,40,normal
180,59,thin
185,96,fat
147,76,fat
142,85,fat
178,94,fat
165,43,thin
140,64,fat
170,85,fat
180,41,thin
169,47,thin
163,44,thin
167,70,fat
143,54,fat
153,90,fat
158,74,fat
156,94,fat
156,87,fat
180,42,thin
170,79,fat
164,72,fat
158,36,thin
154,52,normal
140,68,fat
154,54,normal
186,97,fat
158,78,fat
188,78,normal
179,96,fat
186,43,thin
186,79,normal
181,81,normal
166,60,normal
145,85,fat
156,99,fat
149,94,fat
140,69,fat
179,51,thin
142,100,fat
166,82,fat
147,95,fat
145,68,fat
182,85,fat
147,57,fat
160,78,fat
161,70,fat
168,72,fat
161,60,normal
177,99,fat
154,65,fat
183,94,fat
140,70,fat
158,36,thin
189,66,thin
161,71,fat
141,78,fat
150,84,fat
144,40,normal
140,75,fat
156,88,fat
156,66,fat
169,63,normal
172,98,fat
177,58,normal
187,36,thin
170,97,fat
150,73,fat
183,56,thin
146,68,fat
184,82,normal
169,97,fat
189,68,normal
177,57,thin
149,97,fat
182,50,thin
166,81,fat
186,51,thin
161,91,fat
141,56,fat
183,91,fat
177,80,fat
161,81,fat
187,83,normal
150,47,normal
163,88,fat
177,44,thin
186,54,thin
141,54,fat
165,95,fat
155,95,fat
188,64,thin
162,38,thin
142,83,fat
163,64,normal
175,80,fat
183,77,normal
183,74,normal
170,70,normal
147,42,normal
173,73,normal
178,86,fat
172,54,thin
159,84,fat
157,38,thin
174,94,fat
161,68,fat
156,61,fat
147,96,fat
154,58,normal
167,73,fat
154,39,thin
175,60,normal
149,54,normal
157,67,fat
171,54,thin
141,74,fat
148,69,fat
154,41,thin
178,70,normal
146,48,normal
178,79,normal
140,56,fat
170,63,normal
188,95,fat
153,50,normal
152,58,fat
151,82,fat
185,65,normal
143,68,fat
143,100,fat
155,62,fat
168,62,normal
163,75,fat
157,40,thin
152,61,fat
184,68,normal
162,42,thin
180,35,thin
140,39,normal
183,86,fat
178,86,fat
142,48,normal
167,41,thin
180,96,fat
177,35,thin
170,96,fat
181,37,thin
161,74,fat
186,53,thin
171,79,fat
155,80,fat
156,50,normal
179,36,thin
188,94,fat
155,65,fat
146,52,normal
179,94,fat
151,48,normal
151,84,fat
182,65,normal
182,60,thin
140,74,fat
165,43,thin
170,67,normal
185,81,normal
154,87,fat
169,84,fat
152,80,fat
141,55,fat
189,79,normal
186,95,fat
145,88,fat
176,78,fat
169,88,fat
147,64,fat
172,98,fat
167,65,normal
154,77,fat
159,44,thin
176,98,fat
184,35,thin
190,41,thin
147,54,normal
158,36,thin
165,65,normal
142,73,fat
172,68,normal
182,86,fat
164,43,thin
175,44,thin
189,77,normal
180,46,thin
187,56,thin
161,55,normal
171,62,normal
189,43,thin
149,84,fat
165,44,thin
153,42,thin
159,87,fat
155,86,fat
161,96,fat
156,64,fat
178,58,thin
167,55,normal
169,83,fat
179,92,fat
155,66,fat
172,51,thin
163,77,fat
179,58,thin
171,70,normal
177,96,fat
188,81,normal
165,75,fat
143,65,fat
164,46,thin
161,86,fat
178,73,normal
163,60,normal
158,90,fat
172,76,fat
172,94,fat
148,88,fat
190,36,thin
168,83,fat
150,73,fat
149,58,fat
188,61,thin
164,48,thin
165,55,normal
190,52,thin
147,37,thin
178,76,normal
141,40,normal
151,59,fat
171,56,normal
176,91,fat
180,70,normal
144,47,normal
185,46,thin
179,52,thin
175,80,fat
180,46,thin
187,100,fat
153,99,fat
156,76,fat
184,97,fat
151,85,fat
171,36,thin
181,65,normal
186,91,fat
187,66,normal
186,71,normal
176,99,fat
142,52,fat
152,39,thin
156,37,thin
162,41,thin
189,79,normal
157,66,fat
161,94,fat
164,74,fat
170,89,fat
184,100,fat
140,67,fat
168,99,fat
163,100,fat
168,61,normal
186,68,normal
149,67,fat
167,99,fat
186,64,thin
164,82,fat
180,84,fat
151,45,normal
166,66,normal
187,85,normal
189,97,fat
159,70,fat
169,58,normal
174,64,normal
149,82,fat
147,38,thin
166,61,normal
140,61,fat
176,60,normal
159,71,fat
145,51,normal
156,90,fat
156,42,thin
182,91,fat
183,67,normal
182,49,thin
177,45,thin
179,80,normal
181,47,thin
145,87,fat
171,52,thin
151,36,thin
146,50,normal
177,71,normal
161,48,normal
154,47,normal
144,84,fat
148,78,fat
153,82,fat
169,59,normal
160,77,fat
168,41,thin
177,80,fat
184,49,thin
157,73,fat
180,84,fat
181,55,thin
165,52,normal
176,75,normal
182,56,thin
183,91,fat
190,78,normal
157,59,normal
150,44,normal
159,95,fat
143,78,fat
156,80,fat
151,59,fat
149,49,normal
142,47,normal
184,80,normal
146,58,fat
189,82,normal
182,60,thin
144,45,normal
165,91,fat
173,87,fat
159,93,fat
160,45,thin
165,70,fat
150,67,fat
162,99,fat
160,80,fat
189,100,fat
185,62,thin
176,42,thin
145,37,thin
155,42,thin
145,96,fat
151,98,fat
188,76,normal
166,64,normal
187,36,thin
142,46,normal
177,52,thin
171,66,normal
140,91,fat
148,59,fat
149,85,fat
173,76,fat
150,65,fat
169,59,normal
166,88,fat
181,82,fat
146,61,fat
162,44,thin
153,64,fat
153,46,normal
187,79,normal
152,59,fat
174,87,fat
158,89,fat
144,62,fat
164,78,fat
141,56,fat
187,96,fat
166,37,thin
171,51,thin
179,96,fat
140,75,fat
142,43,normal
169,100,fat
158,72,fat
176,85,fat
162,65,normal
175,60,normal
176,52,thin
149,35,thin
190,70,normal
173,63,normal
168,84,fat
190,85,normal
151,52,normal
164,95,fat
189,73,normal
165,93,fat
140,56,fat
173,70,normal
170,53,thin
153,85,fat
168,96,fat
164,86,fat
173,86,fat
149,78,fat
173,89,fat
170,35,thin
184,38,thin
140,89,fat
150,76,fat
187,48,thin
185,35,thin
147,83,fat
175,62,normal
174,60,normal
168,60,normal
164,91,fat
166,82,fat
141,63,fat
152,77,fat
142,64,fat
175,83,fat
144,47,normal
177,77,normal
142,94,fat
149,79,fat
163,92,fat
175,100,fat
178,84,fat
145,78,fat
181,46,thin
141,43,normal
156,39,thin
188,55,thin
190,60,thin
157,94,fat
176,67,normal
161,93,fat
181,70,normal
144,49,normal
157,59,normal
180,63,normal
182,48,thin
152,41,thin
176,95,fat
143,35,thin
153,40,thin
184,73,normal
147,67,fat
158,94,fat
155,54,normal
189,90,fat
185,49,thin
185,91,fat
176,91,fat
144,88,fat
163,39,thin
156,38,thin
185,92,fat
189,70,normal
174,48,thin
175,67,normal
172,39,thin
184,66,normal
190,80,normal
172,76,fat
190,96,fat
182,92,fat
154,56,normal
151,60,fat
154,38,thin
186,94,fat
188,44,thin
142,60,fat
173,63,normal
169,85,fat
159,80,fat
147,63,fat
163,55,normal
147,50,normal
142,90,fat
141,57,fat
190,89,normal
173,81,fat
140,40,normal
165,72,fat
142,74,fat
172,37,thin
157,97,fat
177,90,fat
161,91,fat
176,47,thin
152,99,fat
149,81,fat
188,85,normal
162,83,fat
178,54,thin
140,90,fat
178,91,fat
155,49,normal
173,69,normal
168,62,normal
145,61,fat
184,55,thin
173,93,fat
157,39,thin
155,79,fat
172,87,fat
148,53,normal
158,95,fat
181,88,fat
178,51,thin
189,68,normal
184,46,thin
178,73,normal
162,64,normal
170,35,thin
183,64,normal
157,83,fat
179,36,thin
169,45,thin
186,41,thin
150,43,normal
182,82,normal
148,36,thin
167,97,fat
151,72,fat
142,47,normal
140,94,fat
147,99,fat
156,82,fat
171,36,thin
150,86,fat
155,95,fat
155,51,normal
148,69,fat
160,95,fat
158,56,normal
148,59,fat
157,35,thin
142,51,fat
151,63,fat
156,100,fat
146,71,fat
160,42,thin
160,100,fat
176,39,thin
181,35,thin
188,84,normal
183,85,fat
166,46,thin
140,89,fat
158,86,fat
142,99,fat
186,82,normal
161,75,fat
165,62,normal
144,63,fat
181,71,normal
141,70,fat
162,58,normal
159,80,fat
157,54,normal
180,97,fat
154,71,fat
150,56,normal
147,79,fat
177,79,fat
147,63,fat
142,40,normal
149,95,fat
163,79,fat
147,55,fat
167,49,thin
176,100,fat
176,97,fat
141,64,fat
172,82,fat
184,36,thin
176,80,fat
184,35,thin
171,64,normal
170,41,thin
180,88,fat
169,93,fat
165,35,thin
190,68,normal
157,37,thin
143,95,fat
145,60,fat
152,80,fat
176,86,fat
170,60,normal
153,84,fat
167,38,thin
171,95,fat
155,59,normal
159,79,fat
157,47,normal
149,50,normal
181,39,thin
189,55,thin
156,72,fat
167,90,fat
164,44,thin
183,96,fat
151,58,fat
162,89,fat
161,69,fat
155,40,thin
170,69,normal
186,88,fat
174,100,fat
182,79,normal
143,36,thin
168,51,thin
143,94,fat
154,100,fat
185,90,fat
165,65,normal
182,68,normal
169,41,thin
141,61,fat
143,35,thin
163,64,normal
178,96,fat
189,50,thin
158,56,normal
142,52,fat
157,84,fat
181,89,fat
190,90,normal
165,66,normal
173,38,thin
164,50,normal
150,81,fat
169,72,fat
155,36,thin
164,86,fat
153,76,fat
176,65,normal
147,71,fat
148,65,fat
149,43,normal
148,53,normal
162,75,fat
154,51,normal
159,65,fat
145,53,fat
181,38,thin
149,77,fat
142,100,fat
153,55,normal
156,78,fat
187,56,thin
146,95,fat
171,87,fat
150,41,thin
165,69,fat
150,64,fat
190,50,thin
166,68,normal
146,65,fat
144,91,fat
179,36,thin
185,40,thin
171,96,fat
187,92,fat
188,62,thin
171,97,fat
183,100,fat
172,98,fat
141,48,normal
181,96,fat
142,75,fat
152,70,fat
181,79,normal
141,55,fat
156,44,thin
143,63,fat
186,49,thin
158,46,thin
162,36,thin
147,81,fat
159,89,fat
186,88,fat
140,53,fat
188,68,normal
187,94,fat
170,62,normal
189,57,thin
150,59,fat
178,74,normal
182,49,thin
188,44,thin
172,99,fat
146,68,fat
170,51,thin
159,87,fat
150,46,normal
161,44,thin
186,87,fat
173,48,thin
187,61,thin
140,77,fat
187,86,normal
140,42,normal
151,61,fat
186,58,thin
155,95,fat
167,42,thin
